name,id,base64,undergraduate_enrollment,location,total_professors,total_reviews,file_location,start_date,end_date
University of Notre Dame,School-1576,U2Nob29zLTE1NzY=,8968.0,"Notre Dame, IN",1221.0,4468.0,T100Reviews/Universities/University_of_Notre_Dame,2002-04-16 12:20:04,2025-01-27 04:10:41
Vanderbilt University,School-4002,U2Nob29zLTQwMDI=,7152.0,"Nashville, TN",2329.0,31508.0,T100Reviews/Universities/Vanderbilt_University,2003-01-08 21:38:52,2025-01-28 00:13:59
Carnegie Mellon University,School-181,U2Nob29zLTE4MQ==,7707.0,"Pittsburgh, PA",969.0,4810.0,T100Reviews/Universities/Carnegie_Mellon_University,1999-11-26 00:00:00,2025-01-27 16:45:29
University of Michigan--Ann Arbor,School-1258,U2Nob29zLTEyNTg=,33730.0,"Ann Arbor, MI",5530.0,67498.0,T100Reviews/Universities/University_of_Michigan--Ann_Arbor,2001-05-16 11:08:33,2025-01-27 20:04:16
Washington University in St. Louis,School-1147,U2Nob29zLTExNDc=,8267.0,"St. Louis, MO",1884.0,15982.0,T100Reviews/Universities/Washington_University_in_St._Louis,1999-11-17 00:00:00,2025-01-28 02:28:51
Emory University,School-340,U2Nob29zLTM0MA==,7359.0,"Atlanta, GA",1976.0,20242.0,T100Reviews/Universities/Emory_University,2001-05-17 09:53:05,2025-01-28 02:54:32
Georgetown University,School-355,U2Nob29zLTM1NQ==,7968.0,"Washington, DC",2721.0,33528.0,T100Reviews/Universities/Georgetown_University,2001-09-11 00:45:12,2025-01-27 20:07:11
University of Virginia,School-1277,U2Nob29zLTEyNzc=,17618.0,"Charlottesville, VA",2098.0,17227.0,T100Reviews/Universities/University_of_Virginia,2000-11-12 17:16:10,2025-01-27 00:47:59
University of North Carolina--Chapel Hill,School-1232,U2Nob29zLTEyMzI=,20880.0,"Chapel Hill, NC",4382.0,56251.0,T100Reviews/Universities/University_of_North_Carolina--Chapel_Hill,2000-02-08 15:49:49,2025-01-28 04:32:55
University of Southern California,School-1381,U2Nob29zLTEzODE=,21023.0,"Los Angeles, CA",5134.0,61036.0,T100Reviews/Universities/University_of_Southern_California,2001-03-14 00:31:38,2025-01-28 07:23:26
"University of California, San Diego",School-1079,U2Nob29zLTEwNzk=,33792.0,"La Jolla, CA",3608.0,58814.0,"T100Reviews/Universities/University_of_California,_San_Diego",2001-05-16 17:10:27,2025-01-28 12:58:44
New York University,School-675,U2Nob29zLTY3NQ==,29760.0,"New York, NY",6047.0,57186.0,T100Reviews/Universities/New_York_University,2001-12-20 19:22:07,2025-01-28 15:35:26
University of Florida,School-1100,U2Nob29zLTExMDA=,34924.0,"Gainesville, FL",5970.0,73939.0,T100Reviews/Universities/University_of_Florida,2001-05-18 12:39:54,2025-01-28 04:16:46
University of Texas--Austin,School-1255,U2Nob29zLTEyNTU=,42444.0,"Austin, TX",5209.0,64172.0,T100Reviews/Universities/University_of_Texas--Austin,2001-05-21 19:29:28,2025-01-29 01:40:30
Georgia Institute of Technology,School-361,U2Nob29zLTM2MQ==,19505.0,"Atlanta, GA",2672.0,25909.0,T100Reviews/Universities/Georgia_Institute_of_Technology,2001-05-25 02:53:23,2025-01-29 04:31:04
"University of California, Davis",School-1073,U2Nob29zLTEwNzM=,31797.0,"Davis, CA",4906.0,107193.0,"T100Reviews/Universities/University_of_California,_Davis",2001-06-04 22:40:47,2025-01-29 09:58:09
University of California--Irvine,School-1074,U2Nob29zLTEwNzQ=,29503.0,"Irvine, CA",3899.0,75163.0,T100Reviews/Universities/University_of_California--Irvine,2001-08-21 20:41:28,2025-01-29 09:12:55
University of Illinois Urbana-Champaign,School-1112,U2Nob29zLTExMTI=,35564.0,"Champaign, IL",4782.0,42808.0,T100Reviews/Universities/University_of_Illinois_Urbana-Champaign,2001-05-15 22:03:00,2025-01-29 16:29:31
Boston College,School-122,U2Nob29zLTEyMjI=,9575.0,"Chestnut Hill, MA",440.0,1234.0,T100Reviews/Universities/Boston_College,2002-10-24 16:51:09,2025-01-28 22:06:43
Tufts University,School-1040,U2Nob29zLTEwNDA=,6877.0,"Medford, MA",1462.0,16741.0,T100Reviews/Universities/Tufts_University,2001-10-01 01:37:25,2025-01-29 03:07:56
"University of California, Santa Barbara",School-1077,U2Nob29zLTEwNzc=,23232.0,"Santa Barbara, CA",3219.0,58281.0,"T100Reviews/Universities/University_of_California,_Santa_Barbara",2000-01-10 18:26:54,2025-01-29 18:33:47
University of Wisconsin--Madison,School-18418,U2Nob29zLTE4NDE4,37817.0,"Madison, WI",4775.0,67249.0,T100Reviews/Universities/University_of_Wisconsin--Madison,2001-05-15 04:03:51,2025-01-29 15:15:58
Boston University,School-124,U2Nob29zLTEyNA==,18656.0,"Boston, MA",3979.0,65195.0,T100Reviews/Universities/Boston_University,2001-05-16 18:18:56,2025-01-29 20:08:54
The Ohio State University,School-724,U2Nob29zLTcyNA==,45728.0,"Columbus, OH",7973.0,87055.0,T100Reviews/Universities/The_Ohio_State_University,2000-12-16 15:31:11,2025-01-29 21:28:27
Rutgers University--New Brunswick,School-825,U2Nob29zLTgyNQ==,36588.0,"Piscataway, NJ",6718.0,94235.0,T100Reviews/Universities/Rutgers_University--New_Brunswick,1999-11-15 00:00:00,2025-01-29 23:16:08
"University of Maryland, College Park",School-1270,U2Nob29zLTEyNzA=,30608.0,"College Park, MD",3992.0,28794.0,"T100Reviews/Universities/University_of_Maryland,_College_Park",2000-08-26 16:15:02,2025-01-29 03:32:07
University of Rochester,School-1331,U2Nob29zLTEzMzE=,6764.0,"Rochester, NY",1130.0,11457.0,T100Reviews/Universities/University_of_Rochester,2001-05-17 12:09:40,2025-01-30 02:37:55
Lehigh University,School-509,U2Nob29zLTUwOQ==,5811.0,"Bethlehem, PA",1210.0,14357.0,T100Reviews/Universities/Lehigh_University,2001-06-24 00:06:13,2025-01-29 22:00:43
Purdue University--Main Campus,School-783,U2Nob29zLTc4Mw==,39170.0,"West Lafayette, IN",4564.0,42721.0,T100Reviews/Universities/Purdue_University--Main_Campus,2000-12-16 01:17:33,2025-01-30 00:51:35
University of Georgia,School-1101,U2Nob29zLTExMDE=,31514.0,"Athens, GA",5607.0,83527.0,T100Reviews/Universities/University_of_Georgia,2001-05-22 02:03:04,2025-01-30 03:02:27
University of Washington,School-1530,U2Nob29zLTE1MzA=,39125.0,"Seattle, WA",5094.0,60566.0,T100Reviews/Universities/University_of_Washington,2001-05-18 00:21:22,2025-01-30 08:08:17
Wake Forest University,School-1130,U2Nob29zLTExMzA=,5471.0,"Winston-Salem, NC",789.0,3816.0,T100Reviews/Universities/Wake_Forest_University,2001-12-13 10:20:21,2025-01-30 02:29:15
Case Western Reserve University,School-186,U2Nob29zLTE4Ng==,6186.0,"Cleveland, OH",1484.0,17241.0,T100Reviews/Universities/Case_Western_Reserve_University,2001-10-18 21:21:14,2025-01-30 12:40:16
Texas A&M University,School-1003,U2Nob29zLTEwMDM=,59933.0,"College Station, TX",5428.0,76609.0,T100Reviews/Universities/Texas_A&M_University,1999-11-16 00:00:00,2025-01-30 21:51:08
